O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
45.63,OK,2.17,OK,0.2,BDL,0.34,OK,33.93,OK,28.83,OK,14.82,90.1,3.251,4.147,133.0,3.789,0.2,806.39,,2023,6,6,23,12
41.59,OK,0.76,OK,0.2,BDL,0.3,OK,24.43,OK,9.21,OK,16.22,87.1,1.9,2.468,249.3,14.41,0.1,808.36,,2023,8,1,23,56
26.04,OK,9.08,OK,0.2,BDL,0.5,OK,39.94,OK,22.05,OK,15.76,85.5,2.367,2.56,252.3,2.435,0.2,805.084,0.23,2023,12,15,18,55
56.07,OK,2.76,OK,0.2,BDL,0.11,OK,10.63,OK,28.7,OK,16.61,84.2,2.248,3.082,110.3,25.45,0.1,809.019,,2023,7,5,0,36
33.53,OK,1.6,OK,0.2,BDL,0.22,OK,13.39,OK,2.0,BDL,15.63,93.2,0.205,0.236,8.94,0.014,0.1,805.914,,2023,9,5,1,24
48.41,OK,1.04,OK,0.2,BDL,0.02,BDL,24.24,OK,25.0,OK,21.23,60.63,2.982,3.82,292.9,24.61,0.3,808.175,48.26,2023,7,17,12,18
24.18,OK,7.42,OK,0.2,BDL,0.1,OK,8.92,OK,19.32,OK,15.74,97.2,1.679,2.079,39.92,2.938,0.1,809.22,,2023,7,18,1,46
44.26,OK,5.22,OK,0.2,BDL,0.4,OK,51.81,OK,37.7,OK,18.63,80.9,1.328,1.393,287.4,5.219,0.1,804.484,62.41,2023,5,21,17,59
21.72,OK,4.73,OK,0.2,BDL,0.49,OK,2.0,BDL,9.29,OK,10.37,91.8,1.191,1.475,6.532,9.57,0.1,806.261,,2024,2,16,23,37
27.1,OK,1.36,OK,0.2,BDL,0.12,OK,8.29,OK,5.44,OK,17.91,74.53,2.111,2.939,151.0,17.52,0.1,805.624,,2023,7,1,19,24
33.08,OK,0.2,BDL,0.2,BDL,0.02,BDL,28.65,OK,24.57,OK,17.44,87.4,3.289,4.239,250.6,9.74,0.2,808.402,129.9,2023,7,24,13,17
40.95,OK,4.29,OK,0.2,BDL,0.33,OK,41.31,OK,23.07,OK,15.23,59.89,3.808,4.628,80.8,7.027,0.1,806.05,18.81,2024,1,21,17,7
19.85,OK,3.18,OK,0.2,BDL,0.4,OK,38.56,OK,27.67,OK,15.27,97.1,1.43,1.516,215.8,7.017,0.3,805.832,0.553,2023,8,29,3,19
15.48,OK,9.1,OK,0.2,BDL,0.53,OK,22.18,OR,2.0,BDL,10.09,95.9,0.0,0.0,0.0,0.0,0.1,806.145,,2024,2,17,0,24
31.89,OK,6.33,OK,0.2,BDL,0.36,OK,24.85,OK,17.61,OK,16.68,90.9,2.408,2.826,41.83,12.0,0.1,803.649,37.7,2023,10,25,15,28
25.73,OK,2.44,OK,0.2,BDL,0.38,OK,8.82,OK,9.95,OK,15.17,98.1,0.35,0.819,212.5,14.09,0.1,805.553,,2023,8,29,4,46
29.59,OK,5.05,OK,0.2,BDL,0.35,OK,5.25,OK,5.71,OK,15.67,94.6,2.418,2.642,263.8,8.03,0.1,808.545,,2023,8,5,20,52
33.57,OK,2.63,OK,0.2,BDL,0.24,OK,2.0,BDL,2.0,BDL,10.75,86.2,3.176,5.028,210.7,20.36,0.1,807.043,107.1,2023,12,26,11,5
52.1,OK,2.17,OK,0.2,BDL,0.21,OK,10.45,OK,17.31,OK,19.74,60.39,2.606,3.717,105.6,18.29,0.1,806.502,,2023,6,27,23,16
29.6,OK,4.65,OK,0.2,BDL,0.08,OK,13.86,OK,23.16,OK,16.21,92.8,1.094,1.331,217.0,10.42,0.1,807.945,,2023,7,11,3,5
34.83,OK,3.21,OK,0.2,BDL,0.1,OK,14.21,OK,8.5,OK,16.37,89.3,1.673,1.905,333.7,2.769,0.1,807.804,,2023,7,22,22,30
63.58,OK,1.38,OK,0.2,BDL,0.02,BDL,20.26,OK,29.91,OK,17.99,71.32,2.028,2.171,287.7,3.846,0.1,806.382,,2023,7,9,22,8
41.03,OK,4.26,OK,0.2,BDL,0.04,OK,16.7,OK,12.95,OK,17.28,83.4,5.449,6.687,125.6,10.87,0.1,809.328,0.553,2023,7,17,23,53
41.92,OK,4.56,OK,0.2,BDL,0.1,OK,25.03,OK,11.5,OK,16.73,93.2,1.27,1.454,259.6,11.2,0.1,806.866,,2023,7,9,22,44
45.54,OK,2.74,OK,0.2,BDL,0.05,OK,15.99,OK,18.8,OK,16.75,86.2,2.369,3.031,151.4,19.72,0.1,809.43,,2023,7,18,0,1
34.55,OK,0.2,BDL,0.2,BDL,0.22,OK,2.0,BDL,2.0,BDL,15.63,90.9,2.661,3.113,337.5,21.97,0.2,807.07,0.138,2023,8,17,1,19
25.18,OK,2.47,OK,0.2,BDL,0.56,OK,9.58,OK,11.72,OK,15.17,71.77,1.961,2.273,184.8,9.47,0.1,804.118,1.659,2024,2,16,18,2
18.84,OK,1.48,OK,0.6,OK,0.22,OK,11.87,OK,2.0,BDL,18.75,83.7,1.205,2.775,233.3,29.21,0.1,807.424,256.9,2023,8,17,12,47
22.43,OK,8.49,OK,0.2,BDL,0.48,OK,14.71,OK,7.9,OK,17.13,90.5,6.083,9.07,133.9,15.24,1.1,808.113,13.97,2023,8,5,19,56
22.66,OK,2.73,OK,0.2,BDL,0.49,OK,11.25,OK,2.0,BDL,10.37,90.8,0.396,0.963,177.2,22.69,0.1,806.077,,2024,2,16,20,57
21.66,OK,2.86,OK,0.2,BDL,0.35,OK,12.97,OK,4.6,OK,15.79,92.0,0.0,0.0,0.0,0.0,0.1,807.499,21.25,2023,8,4,7,49
17.93,OK,0.2,BDL,0.2,BDL,0.19,OK,2.0,BDL,5.32,OK,15.21,96.9,0.961,1.372,233.3,12.86,0.1,801.717,0.277,2023,10,10,4,1
44.12,OK,1.21,OK,0.2,BDL,0.19,OK,12.54,OK,8.1,OK,16.34,83.4,2.997,3.748,105.0,13.85,0.1,806.831,,2023,9,4,22,46
39.76,OK,1.0,OK,0.2,BDL,0.23,OK,15.91,OK,15.4,OK,16.68,84.1,2.971,3.86,167.7,29.15,1.0,807.588,9.22,2023,8,14,23,18
44.83,OK,5.82,OK,0.2,BDL,0.29,OK,28.48,OK,23.71,OK,17.05,88.8,2.062,2.775,119.9,13.22,0.1,804.232,,2023,8,22,19,50
30.33,OK,6.63,OK,0.2,BDL,0.31,OK,12.99,OK,9.5,OK,15.41,94.3,1.772,2.017,107.4,8.59,0.1,807.693,0.046,2023,9,16,23,23
28.83,OK,1.2,OK,0.2,BDL,0.15,OK,32.32,OK,16.06,OK,17.97,84.4,4.97,6.369,167.8,16.76,0.1,804.96,25.26,2023,7,1,16,33
53.2,OK,2.23,OK,0.2,BDL,0.21,OK,10.1,OK,17.21,OK,19.74,61.96,2.946,4.055,111.2,7.494,0.1,806.532,,2023,6,27,23,17
19.98,OK,5.6,OK,0.2,BDL,0.27,OK,11.78,OK,9.96,OK,12.47,90.3,1.05,1.341,232.9,10.83,0.1,809.111,,2023,12,7,1,32
39.17,OK,1.91,OK,0.2,BDL,0.04,OK,29.14,OK,9.91,OK,20.38,73.38,2.577,2.929,182.1,14.42,0.1,807.356,1.106,2023,7,12,21,25
16.85,OK,9.02,OK,1.92,OK,0.4,OK,18.76,OK,10.81,OK,12.97,91.1,1.649,2.406,92.4,6.53,0.1,808.294,159.6,2023,12,7,12,50
11.97,OK,2.6,OK,0.2,BDL,0.23,OK,2.0,BDL,2.0,BDL,16.05,97.0,0.0,0.0,0.0,0.0,0.1,803.458,,2023,10,9,21,47
18.56,OK,0.2,BDL,0.2,BDL,0.14,OK,2.0,BDL,2.0,BDL,14.85,91.6,2.294,2.806,187.2,5.062,0.1,800.554,,2023,10,11,1,53
17.36,OK,4.04,OK,0.2,BDL,0.21,OK,2.0,BDL,12.86,OK,15.57,80.0,1.768,1.956,101.9,3.789,0.1,807.043,0.83,2023,8,21,1,33
37.16,OK,1.24,OK,0.2,BDL,0.29,OK,7.33,OK,7.67,OK,17.98,75.03,1.459,2.028,56.87,14.58,0.1,809.097,,2023,7,24,21,45
41.19,OK,4.19,OK,0.2,BDL,0.34,OK,34.6,OK,16.88,OK,15.53,62.24,5.376,6.185,83.2,14.92,0.1,806.22,38.35,2024,1,21,16,58
19.17,OK,5.93,OK,0.2,BDL,0.52,OK,2.0,BDL,6.69,OK,10.43,92.2,2.111,2.447,66.06,19.08,0.1,806.009,,2024,2,16,23,6
17.62,OK,0.2,BDL,0.2,BDL,0.2,OK,22.18,OR,2.0,BDL,15.35,96.5,1.004,1.311,260.4,5.848,0.1,801.704,,2023,10,10,3,47
39.85,OK,1.38,OK,0.2,BDL,0.06,OK,8.37,OK,13.51,OK,20.84,68.24,3.173,3.994,277.5,13.48,0.1,805.705,172.8,2023,7,10,15,37
48.82,OK,4.38,OK,0.2,BDL,0.27,OK,50.39,OK,28.3,OK,20.6,71.62,5.903,6.707,341.3,4.251,1.0,803.192,92.4,2023,11,9,14,45
56.39,OK,3.01,OK,0.2,BDL,0.11,OK,11.26,OK,22.85,OK,16.66,84.8,6.156,7.209,177.9,10.0,0.1,808.794,2.72,2023,7,5,0,25
31.61,OK,3.12,OK,0.2,BDL,0.3,OK,2.0,BDL,11.2,OK,18.09,88.8,1.193,1.526,255.7,1.954,0.1,804.146,,2023,10,3,19,45
23.6,OK,3.5,OK,0.2,BDL,0.28,OK,6.86,OK,13.47,OK,15.21,95.6,1.017,1.587,79.42,13.86,0.1,807.567,,2023,9,17,0,43
50.48,OK,1.68,OK,0.2,BDL,0.23,OK,24.1,OK,13.07,OK,14.04,95.5,10.82,16.24,105.7,11.84,1.8,809.552,13.69,2023,9,1,22,37
